Altai Ami Australian Chimp Dai Denisovan Dinka Kostenki14 Onge Papuan
Altai 0 0.242672 0.2520845 0.254 0.237672 0.152 0.194 0.357672 0.251672 0.2490845
Ami 0.242672 0 0.05453198 0.276432 0.007 0.249312 0.062832 0.165 0.045 0.05153198
Australian 0.2520845 0.05453198 0 0.2880117 0.04953198 0.2557053 0.07901966 0.183112 0.06159198 0.027
Chimp 0.254 0.276432 0.2880117 0 0.271432 0.258 0.222 0.391432 0.285432 0.2850117
Dai 0.237672 0.007 0.04953198 0.271432 0 0.244312 0.057832 0.16 0.04 0.04653198
Denisovan 0.152 0.249312 0.2557053 0.258 0.244312 0 0.198 0.364312 0.258312 0.2527053
Dinka 0.194 0.062832 0.07901966 0.222 0.057832 0.198 0 0.177832 0.071832 0.07601966
Kostenki14 0.357672 0.165 0.183112 0.391432 0.16 0.364312 0.177832 0 0.174 0.180112
Onge 0.251672 0.045 0.06159198 0.285432 0.04 0.258312 0.071832 0.174 0 0.05859198
Papuan 0.2490845 0.05153198 0.027 0.2850117 0.04653198 0.2527053 0.07601966 0.180112 0.05859198 0
