ASW CEU CHB GIH IBS ITU JPT MXL PUR YRI
ASW 0 0.333 0.42 0.373 0.37 0.353 0.422 0.320741 0.32752 0.122
CEU 0.333 0 0.253 0.206 0.115 0.186 0.255 0.100061 0.12532 0.377
CHB 0.42 0.253 0 0.211 0.29 0.191 0.076 0.183801 0.15992 0.464
GIH 0.373 0.206 0.211 0 0.243 0.082 0.213 0.161761 0.15132 0.417
IBS 0.37 0.115 0.29 0.243 0 0.223 0.292 0.102901 0.12552 0.414
ITU 0.353 0.186 0.191 0.082 0.223 0 0.193 0.141761 0.13132 0.397
JPT 0.422 0.255 0.076 0.213 0.292 0.193 0 0.185801 0.16192 0.466
MXL 0.320741 0.100061 0.183801 0.161761 0.102901 0.141761 0.185801 0 0.058369 0.364741
PUR 0.32752 0.12532 0.15992 0.15132 0.12552 0.13132 0.16192 0.058369 0 0.37152
YRI 0.122 0.377 0.464 0.417 0.414 0.397 0.466 0.364741 0.37152 0
