Altai Ami Australian Chimp Dai Denisovan Dinka Kostenki14 Onge Papuan
Altai 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
Ami 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
Australian 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
Chimp 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
Dai 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001
Denisovan 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001
Dinka 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001
Kostenki14 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001
Onge 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001
Papuan 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0
