ASW CEU CHB GIH IBS ITU JPT MXL PUR YRI
ASW 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
CEU 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
CHB 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
GIH 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
IBS 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001 0.0001
ITU 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001 0.0001
JPT 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001 0.0001
MXL 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001 0.0001
PUR 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0 0.0001
YRI 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0
