Outgroup,A,B,f3
Chimp,Altai,Altai,254
Chimp,Altai,Ami,143.88
Chimp,Altai,Australian,144.9636
Chimp,Altai,Dai,143.88
Chimp,Altai,Denisovan,180
Chimp,Altai,Dinka,141
Chimp,Altai,Kostenki14,143.88
Chimp,Altai,Onge,143.88
Chimp,Altai,Papuan,144.9636
Chimp,Ami,Ami,276.432
Chimp,Ami,Australian,254.95584
Chimp,Ami,Dai,270.432
Chimp,Ami,Denisovan,142.56
Chimp,Ami,Dinka,217.8
Chimp,Ami,Kostenki14,251.432
Chimp,Ami,Onge,258.432
Chimp,Ami,Papuan,254.95584
Chimp,Australian,Australian,288.0116608
Chimp,Australian,Dai,254.95584
Chimp,Australian,Denisovan,145.1532
Chimp,Australian,Dinka,215.496
Chimp,Australian,Kostenki14,248.16584
Chimp,Australian,Onge,255.92584
Chimp,Australian,Papuan,273.0116608
Chimp,Dai,Dai,271.432
Chimp,Dai,Denisovan,142.56
Chimp,Dai,Dinka,217.8
Chimp,Dai,Kostenki14,251.432
Chimp,Dai,Onge,258.432
Chimp,Dai,Papuan,254.95584
Chimp,Denisovan,Denisovan,258
Chimp,Denisovan,Dinka,141
Chimp,Denisovan,Kostenki14,142.56
Chimp,Denisovan,Onge,142.56
Chimp,Denisovan,Papuan,145.1532
Chimp,Dinka,Dinka,222
Chimp,Dinka,Kostenki14,217.8
Chimp,Dinka,Onge,217.8
Chimp,Dinka,Papuan,215.496
Chimp,Kostenki14,Kostenki14,391.432
Chimp,Kostenki14,Onge,251.432
Chimp,Kostenki14,Papuan,248.16584
Chimp,Onge,Onge,285.432
Chimp,Onge,Papuan,255.92584
Chimp,Papuan,Papuan,285.0116608
