A1,B1,A2,B2,covariance
Karitiana,Karitiana,Karitiana,Karitiana,1
Karitiana,Karitiana,Karitiana,LBK_EN,0
Karitiana,Karitiana,Karitiana,Loschbour,0
Karitiana,Karitiana,Karitiana,MA1,0
Karitiana,Karitiana,Karitiana,Onge,0
Karitiana,Karitiana,LBK_EN,LBK_EN,0
Karitiana,Karitiana,LBK_EN,Loschbour,0
Karitiana,Karitiana,LBK_EN,MA1,0
Karitiana,Karitiana,LBK_EN,Onge,0
Karitiana,Karitiana,Loschbour,Loschbour,0
Karitiana,Karitiana,Loschbour,MA1,0
Karitiana,Karitiana,Loschbour,Onge,0
Karitiana,Karitiana,MA1,MA1,0
Karitiana,Karitiana,MA1,Onge,0
Karitiana,Karitiana,Onge,Onge,0
Karitiana,LBK_EN,Karitiana,LBK_EN,1
Karitiana,LBK_EN,Karitiana,Loschbour,0
Karitiana,LBK_EN,Karitiana,MA1,0
Karitiana,LBK_EN,Karitiana,Onge,0
Karitiana,LBK_EN,LBK_EN,LBK_EN,0
Karitiana,LBK_EN,LBK_EN,Loschbour,0
Karitiana,LBK_EN,LBK_EN,MA1,0
Karitiana,LBK_EN,LBK_EN,Onge,0
Karitiana,LBK_EN,Loschbour,Loschbour,0
Karitiana,LBK_EN,Loschbour,MA1,0
Karitiana,LBK_EN,Loschbour,Onge,0
Karitiana,LBK_EN,MA1,MA1,0
Karitiana,LBK_EN,MA1,Onge,0
Karitiana,LBK_EN,Onge,Onge,0
Karitiana,Loschbour,Karitiana,Loschbour,1
Karitiana,Loschbour,Karitiana,MA1,0
Karitiana,Loschbour,Karitiana,Onge,0
Karitiana,Loschbour,LBK_EN,LBK_EN,0
Karitiana,Loschbour,LBK_EN,Loschbour,0
Karitiana,Loschbour,LBK_EN,MA1,0
Karitiana,Loschbour,LBK_EN,Onge,0
Karitiana,Loschbour,Loschbour,Loschbour,0
Karitiana,Loschbour,Loschbour,MA1,0
Karitiana,Loschbour,Loschbour,Onge,0
Karitiana,Loschbour,MA1,MA1,0
Karitiana,Loschbour,MA1,Onge,0
Karitiana,Loschbour,Onge,Onge,0
Karitiana,MA1,Karitiana,MA1,1
Karitiana,MA1,Karitiana,Onge,0
Karitiana,MA1,LBK_EN,LBK_EN,0
Karitiana,MA1,LBK_EN,Loschbour,0
Karitiana,MA1,LBK_EN,MA1,0
Karitiana,MA1,LBK_EN,Onge,0
Karitiana,MA1,Loschbour,Loschbour,0
Karitiana,MA1,Loschbour,MA1,0
Karitiana,MA1,Loschbour,Onge,0
Karitiana,MA1,MA1,MA1,0
Karitiana,MA1,MA1,Onge,0
Karitiana,MA1,Onge,Onge,0
Karitiana,Onge,Karitiana,Onge,1
Karitiana,Onge,LBK_EN,LBK_EN,0
Karitiana,Onge,LBK_EN,Loschbour,0
Karitiana,Onge,LBK_EN,MA1,0
Karitiana,Onge,LBK_EN,Onge,0
Karitiana,Onge,Loschbour,Loschbour,0
Karitiana,Onge,Loschbour,MA1,0
Karitiana,Onge,Loschbour,Onge,0
Karitiana,Onge,MA1,MA1,0
Karitiana,Onge,MA1,Onge,0
Karitiana,Onge,Onge,Onge,0
LBK_EN,LBK_EN,LBK_EN,LBK_EN,1
LBK_EN,LBK_EN,LBK_EN,Loschbour,0
LBK_EN,LBK_EN,LBK_EN,MA1,0
LBK_EN,LBK_EN,LBK_EN,Onge,0
LBK_EN,LBK_EN,Loschbour,Loschbour,0
LBK_EN,LBK_EN,Loschbour,MA1,0
LBK_EN,LBK_EN,Loschbour,Onge,0
LBK_EN,LBK_EN,MA1,MA1,0
LBK_EN,LBK_EN,MA1,Onge,0
LBK_EN,LBK_EN,Onge,Onge,0
LBK_EN,Loschbour,LBK_EN,Loschbour,1
LBK_EN,Loschbour,LBK_EN,MA1,0
LBK_EN,Loschbour,LBK_EN,Onge,0
LBK_EN,Loschbour,Loschbour,Loschbour,0
LBK_EN,Loschbour,Loschbour,MA1,0
LBK_EN,Loschbour,Loschbour,Onge,0
LBK_EN,Loschbour,MA1,MA1,0
LBK_EN,Loschbour,MA1,Onge,0
LBK_EN,Loschbour,Onge,Onge,0
LBK_EN,MA1,LBK_EN,MA1,1
LBK_EN,MA1,LBK_EN,Onge,0
LBK_EN,MA1,Loschbour,Loschbour,0
LBK_EN,MA1,Loschbour,MA1,0
LBK_EN,MA1,Loschbour,Onge,0
LBK_EN,MA1,MA1,MA1,0
LBK_EN,MA1,MA1,Onge,0
LBK_EN,MA1,Onge,Onge,0
LBK_EN,Onge,LBK_EN,Onge,1
LBK_EN,Onge,Loschbour,Loschbour,0
LBK_EN,Onge,Loschbour,MA1,0
LBK_EN,Onge,Loschbour,Onge,0
LBK_EN,Onge,MA1,MA1,0
LBK_EN,Onge,MA1,Onge,0
LBK_EN,Onge,Onge,Onge,0
Loschbour,Loschbour,Loschbour,Loschbour,1
Loschbour,Loschbour,Loschbour,MA1,0
Loschbour,Loschbour,Loschbour,Onge,0
Loschbour,Loschbour,MA1,MA1,0
Loschbour,Loschbour,MA1,Onge,0
Loschbour,Loschbour,Onge,Onge,0
Loschbour,MA1,Loschbour,MA1,1
Loschbour,MA1,Loschbour,Onge,0
Loschbour,MA1,MA1,MA1,0
Loschbour,MA1,MA1,Onge,0
Loschbour,MA1,Onge,Onge,0
