A1,B1,A2,B2,covariance
FrenchDG,FrenchDG,FrenchDG,FrenchDG,1
FrenchDG,FrenchDG,FrenchDG,HanDG,0
FrenchDG,FrenchDG,FrenchDG,MixeDG,0
FrenchDG,FrenchDG,FrenchDG,UlchiDG,0
FrenchDG,FrenchDG,HanDG,HanDG,0
FrenchDG,FrenchDG,HanDG,MixeDG,0
FrenchDG,FrenchDG,HanDG,UlchiDG,0
FrenchDG,FrenchDG,MixeDG,MixeDG,0
FrenchDG,FrenchDG,MixeDG,UlchiDG,0
FrenchDG,FrenchDG,UlchiDG,UlchiDG,0
FrenchDG,HanDG,FrenchDG,HanDG,1
FrenchDG,HanDG,FrenchDG,MixeDG,0
FrenchDG,HanDG,FrenchDG,UlchiDG,0
FrenchDG,HanDG,HanDG,HanDG,0
FrenchDG,HanDG,HanDG,MixeDG,0
FrenchDG,HanDG,HanDG,UlchiDG,0
FrenchDG,HanDG,MixeDG,MixeDG,0
FrenchDG,HanDG,MixeDG,UlchiDG,0
FrenchDG,HanDG,UlchiDG,UlchiDG,0
FrenchDG,MixeDG,FrenchDG,MixeDG,1
FrenchDG,MixeDG,FrenchDG,UlchiDG,0
FrenchDG,MixeDG,HanDG,HanDG,0
FrenchDG,MixeDG,HanDG,MixeDG,0
FrenchDG,MixeDG,HanDG,UlchiDG,0
FrenchDG,MixeDG,MixeDG,MixeDG,0
FrenchDG,MixeDG,MixeDG,UlchiDG,0
FrenchDG,MixeDG,UlchiDG,UlchiDG,0
FrenchDG,UlchiDG,FrenchDG,UlchiDG,1
FrenchDG,UlchiDG,HanDG,HanDG,0
FrenchDG,UlchiDG,HanDG,MixeDG,0
FrenchDG,UlchiDG,HanDG,UlchiDG,0
FrenchDG,UlchiDG,MixeDG,MixeDG,0
FrenchDG,UlchiDG,MixeDG,UlchiDG,0
FrenchDG,UlchiDG,UlchiDG,UlchiDG,0
HanDG,HanDG,HanDG,HanDG,1
HanDG,HanDG,HanDG,MixeDG,0
HanDG,HanDG,HanDG,UlchiDG,0
HanDG,HanDG,MixeDG,MixeDG,0
HanDG,HanDG,MixeDG,UlchiDG,0
HanDG,HanDG,UlchiDG,UlchiDG,0
HanDG,MixeDG,HanDG,MixeDG,1
HanDG,MixeDG,HanDG,UlchiDG,0
HanDG,MixeDG,MixeDG,MixeDG,0
HanDG,MixeDG,MixeDG,UlchiDG,0
HanDG,MixeDG,UlchiDG,UlchiDG,0
HanDG,UlchiDG,HanDG,UlchiDG,1
HanDG,UlchiDG,MixeDG,MixeDG,0
HanDG,UlchiDG,MixeDG,UlchiDG,0
HanDG,UlchiDG,UlchiDG,UlchiDG,0
MixeDG,MixeDG,MixeDG,MixeDG,1
MixeDG,MixeDG,MixeDG,UlchiDG,0
MixeDG,MixeDG,UlchiDG,UlchiDG,0
MixeDG,UlchiDG,MixeDG,UlchiDG,1
MixeDG,UlchiDG,UlchiDG,UlchiDG,0
UlchiDG,UlchiDG,UlchiDG,UlchiDG,1
