A1,B1,A2,B2,covariance
FrenchDG,FrenchDG,FrenchDG,FrenchDG,1
FrenchDG,FrenchDG,FrenchDG,HanDG,0
FrenchDG,FrenchDG,FrenchDG,MixeDG1,0
FrenchDG,FrenchDG,FrenchDG,MixeDG2,0
FrenchDG,FrenchDG,FrenchDG,UlchiDG,0
FrenchDG,FrenchDG,HanDG,HanDG,0
FrenchDG,FrenchDG,HanDG,MixeDG1,0
FrenchDG,FrenchDG,HanDG,MixeDG2,0
FrenchDG,FrenchDG,HanDG,UlchiDG,0
FrenchDG,FrenchDG,MixeDG1,MixeDG1,0
FrenchDG,FrenchDG,MixeDG1,MixeDG2,0
FrenchDG,FrenchDG,MixeDG1,UlchiDG,0
FrenchDG,FrenchDG,MixeDG2,MixeDG2,0
FrenchDG,FrenchDG,MixeDG2,UlchiDG,0
FrenchDG,FrenchDG,UlchiDG,UlchiDG,0
FrenchDG,HanDG,FrenchDG,HanDG,1
FrenchDG,HanDG,FrenchDG,MixeDG1,0
FrenchDG,HanDG,FrenchDG,MixeDG2,0
FrenchDG,HanDG,FrenchDG,UlchiDG,0
FrenchDG,HanDG,HanDG,HanDG,0
FrenchDG,HanDG,HanDG,MixeDG1,0
FrenchDG,HanDG,HanDG,MixeDG2,0
FrenchDG,HanDG,HanDG,UlchiDG,0
FrenchDG,HanDG,MixeDG1,MixeDG1,0
FrenchDG,HanDG,MixeDG1,MixeDG2,0
FrenchDG,HanDG,MixeDG1,UlchiDG,0
FrenchDG,HanDG,MixeDG2,MixeDG2,0
FrenchDG,HanDG,MixeDG2,UlchiDG,0
FrenchDG,HanDG,UlchiDG,UlchiDG,0
FrenchDG,MixeDG1,FrenchDG,MixeDG1,1
FrenchDG,MixeDG1,FrenchDG,MixeDG2,0
FrenchDG,MixeDG1,FrenchDG,UlchiDG,0
FrenchDG,MixeDG1,HanDG,HanDG,0
FrenchDG,MixeDG1,HanDG,MixeDG1,0
FrenchDG,MixeDG1,HanDG,MixeDG2,0
FrenchDG,MixeDG1,HanDG,UlchiDG,0
FrenchDG,MixeDG1,MixeDG1,MixeDG1,0
FrenchDG,MixeDG1,MixeDG1,MixeDG2,0
FrenchDG,MixeDG1,MixeDG1,UlchiDG,0
FrenchDG,MixeDG1,MixeDG2,MixeDG2,0
FrenchDG,MixeDG1,MixeDG2,UlchiDG,0
FrenchDG,MixeDG1,UlchiDG,UlchiDG,0
FrenchDG,MixeDG2,FrenchDG,MixeDG2,1
FrenchDG,MixeDG2,FrenchDG,UlchiDG,0
FrenchDG,MixeDG2,HanDG,HanDG,0
FrenchDG,MixeDG2,HanDG,MixeDG1,0
FrenchDG,MixeDG2,HanDG,MixeDG2,0
FrenchDG,MixeDG2,HanDG,UlchiDG,0
FrenchDG,MixeDG2,MixeDG1,MixeDG1,0
FrenchDG,MixeDG2,MixeDG1,MixeDG2,0
FrenchDG,MixeDG2,MixeDG1,UlchiDG,0
FrenchDG,MixeDG2,MixeDG2,MixeDG2,0
FrenchDG,MixeDG2,MixeDG2,UlchiDG,0
FrenchDG,MixeDG2,UlchiDG,UlchiDG,0
FrenchDG,UlchiDG,FrenchDG,UlchiDG,1
FrenchDG,UlchiDG,HanDG,HanDG,0
FrenchDG,UlchiDG,HanDG,MixeDG1,0
FrenchDG,UlchiDG,HanDG,MixeDG2,0
FrenchDG,UlchiDG,HanDG,UlchiDG,0
FrenchDG,UlchiDG,MixeDG1,MixeDG1,0
FrenchDG,UlchiDG,MixeDG1,MixeDG2,0
FrenchDG,UlchiDG,MixeDG1,UlchiDG,0
FrenchDG,UlchiDG,MixeDG2,MixeDG2,0
FrenchDG,UlchiDG,MixeDG2,UlchiDG,0
FrenchDG,UlchiDG,UlchiDG,UlchiDG,0
HanDG,HanDG,HanDG,HanDG,1
HanDG,HanDG,HanDG,MixeDG1,0
HanDG,HanDG,HanDG,MixeDG2,0
HanDG,HanDG,HanDG,UlchiDG,0
HanDG,HanDG,MixeDG1,MixeDG1,0
HanDG,HanDG,MixeDG1,MixeDG2,0
HanDG,HanDG,MixeDG1,UlchiDG,0
HanDG,HanDG,MixeDG2,MixeDG2,0
