A1,B1,A2,B2,covariance
Altai,Altai,Altai,Altai,1
Altai,Altai,Altai,Ami,0
Altai,Altai,Altai,Australian,0
Altai,Altai,Altai,Dai,0
Altai,Altai,Altai,Denisovan,0
Altai,Altai,Altai,Dinka,0
Altai,Altai,Altai,Kostenki14,0
Altai,Altai,Altai,Onge,0
Altai,Altai,Altai,Papuan,0
Altai,Altai,Ami,Ami,0
Altai,Altai,Ami,Australian,0
Altai,Altai,Ami,Dai,0
Altai,Altai,Ami,Denisovan,0
Altai,Altai,Ami,Dinka,0
Altai,Altai,Ami,Kostenki14,0
Altai,Altai,Ami,Onge,0
Altai,Altai,Ami,Papuan,0
Altai,Altai,Australian,Australian,0
Altai,Altai,Australian,Dai,0
Altai,Altai,Australian,Denisovan,0
Altai,Altai,Australian,Dinka,0
Altai,Altai,Australian,Kostenki14,0
Altai,Altai,Australian,Onge,0
Altai,Altai,Australian,Papuan,0
Altai,Altai,Dai,Dai,0
Altai,Altai,Dai,Denisovan,0
Altai,Altai,Dai,Dinka,0
Altai,Altai,Dai,Kostenki14,0
Altai,Altai,Dai,Onge,0
Altai,Altai,Dai,Papuan,0
Altai,Altai,Denisovan,Denisovan,0
Altai,Altai,Denisovan,Dinka,0
Altai,Altai,Denisovan,Kostenki14,0
Altai,Altai,Denisovan,Onge,0
Altai,Altai,Denisovan,Papuan,0
Altai,Altai,Dinka,Dinka,0
Altai,Altai,Dinka,Kostenki14,0
Altai,Altai,Dinka,Onge,0
Altai,Altai,Dinka,Papuan,0
Altai,Altai,Kostenki14,Kostenki14,0
Altai,Altai,Kostenki14,Onge,0
Altai,Altai,Kostenki14,Papuan,0
Altai,Altai,Onge,Onge,0
Altai,Altai,Onge,Papuan,0
Altai,Altai,Papuan,Papuan,0
Altai,Ami,Altai,Ami,1
Altai,Ami,Altai,Australian,0
Altai,Ami,Altai,Dai,0
Altai,Ami,Altai,Denisovan,0
Altai,Ami,Altai,Dinka,0
Altai,Ami,Altai,Kostenki14,0
Altai,Ami,Altai,Onge,0
Altai,Ami,Altai,Papuan,0
Altai,Ami,Ami,Ami,0
Altai,Ami,Ami,Australian,0
Altai,Ami,Ami,Dai,0
Altai,Ami,Ami,Denisovan,0
Altai,Ami,Ami,Dinka,0
Altai,Ami,Ami,Kostenki14,0
Altai,Ami,Ami,Onge,0
Altai,Ami,Ami,Papuan,0
Altai,Ami,Australian,Australian,0
Altai,Ami,Australian,Dai,0
Altai,Ami,Australian,Denisovan,0
Altai,Ami,Australian,Dinka,0
Altai,Ami,Australian,Kostenki14,0
Altai,Ami,Australian,Onge,0
Altai,Ami,Australian,Papuan,0
Altai,Ami,Dai,Dai,0
Altai,Ami,Dai,Denisovan,0
Altai,Ami,Dai,Dinka,0
Altai,Ami,Dai,Kostenki14,0
Altai,Ami,Dai,Onge,0
Altai,Ami,Dai,Papuan,0
Altai,Ami,Denisovan,Denisovan,0
Altai,Ami,Denisovan,Dinka,0
Altai,Ami,Denisovan,Kostenki14,0
Altai,Ami,Denisovan,Onge,0
Altai,Ami,Denisovan,Papuan,0
Altai,Ami,Dinka,Dinka,0
Altai,Ami,Dinka,Kostenki14,0
Altai,Ami,Dinka,Onge,0
Altai,Ami,Dinka,Papuan,0
Altai,Ami,Kostenki14,Kostenki14,0
Altai,Ami,Kostenki14,Onge,0
Altai,Ami,Kostenki14,Papuan,0
Altai,Ami,Onge,Onge,0
Altai,Ami,Onge,Papuan,0
Altai,Ami,Papuan,Papuan,0
Altai,Australian,Altai,Australian,1
Altai,Australian,Altai,Dai,0
Altai,Australian,Altai,Denisovan,0
Altai,Australian,Altai,Dinka,0
Altai,Australian,Altai,Kostenki14,0
Altai,Australian,Altai,Onge,0
Altai,Australian,Altai,Papuan,0
Altai,Australian,Ami,Ami,0
Altai,Australian,Ami,Australian,0
Altai,Australian,Ami,Dai,0
Altai,Australian,Ami,Denisovan,0
Altai,Australian,Ami,Dinka,0
Altai,Australian,Ami,Kostenki14,0
Altai,Australian,Ami,Onge,0
Altai,Australian,Ami,Papuan,0
Altai,Australian,Australian,Australian,0
Altai,Australian,Australian,Dai,0
Altai,Australian,Australian,Denisovan,0
Altai,Australian,Australian,Dinka,0
Altai,Australian,Australian,Kostenki14,0
Altai,Australian,Australian,Onge,0
Altai,Australian,Australian,Papuan,0
Altai,Australian,Dai,Dai,0
Altai,Australian,Dai,Denisovan,0
Altai,Australian,Dai,Dinka,0
Altai,Australian,Dai,Kostenki14,0
Altai,Australian,Dai,Onge,0
Altai,Australian,Dai,Papuan,0
Altai,Australian,Denisovan,Denisovan,0
Altai,Australian,Denisovan,Dinka,0
Altai,Australian,Denisovan,Kostenki14,0
Altai,Australian,Denisovan,Onge,0
Altai,Australian,Denisovan,Papuan,0
Altai,Australian,Dinka,Dinka,0
Altai,Australian,Dinka,Kostenki14,0
Altai,Australian,Dinka,Onge,0
Altai,Australian,Dinka,Papuan,0
Altai,Australian,Kostenki14,Kostenki14,0
Altai,Australian,Kostenki14,Onge,0
