A1,B1,A2,B2,covariance
A,A,A,A,1
A,A,A,B,0
A,A,A,C,0
A,A,A,X,0
A,A,B,B,0
A,A,B,C,0
A,A,B,X,0
A,A,C,C,0
A,A,C,X,0
A,A,X,X,0
A,B,A,B,1
A,B,A,C,0
A,B,A,X,0
A,B,B,B,0
A,B,B,C,0
A,B,B,X,0
A,B,C,C,0
A,B,C,X,0
A,B,X,X,0
A,C,A,C,1
A,C,A,X,0
A,C,B,B,0
A,C,B,C,0
A,C,B,X,0
A,C,C,C,0
A,C,C,X,0
A,C,X,X,0
A,X,A,X,1
A,X,B,B,0
A,X,B,C,0
A,X,B,X,0
A,X,C,C,0
A,X,C,X,0
A,X,X,X,0
B,B,B,B,1
B,B,B,C,0
B,B,B,X,0
B,B,C,C,0
B,B,C,X,0
B,B,X,X,0
B,C,B,C,1
B,C,B,X,0
B,C,C,C,0
B,C,C,X,0
B,C,X,X,0
B,X,B,X,1
B,X,C,C,0
B,X,C,X,0
B,X,X,X,0
C,C,C,C,1
C,C,C,X,0
C,C,X,X,0
C,X,C,X,1
C,X,X,X,0
X,X,X,X,1
