A1,B1,A2,B2,covariance
ASW,ASW,ASW,ASW,1
ASW,ASW,ASW,CEU,0
ASW,ASW,ASW,CHB,0
ASW,ASW,ASW,GIH,0
ASW,ASW,ASW,IBS,0
ASW,ASW,ASW,ITU,0
ASW,ASW,ASW,JPT,0
ASW,ASW,ASW,MXL,0
ASW,ASW,ASW,PUR,0
ASW,ASW,CEU,CEU,0
ASW,ASW,CEU,CHB,0
ASW,ASW,CEU,GIH,0
ASW,ASW,CEU,IBS,0
ASW,ASW,CEU,ITU,0
ASW,ASW,CEU,JPT,0
ASW,ASW,CEU,MXL,0
ASW,ASW,CEU,PUR,0
ASW,ASW,CHB,CHB,0
ASW,ASW,CHB,GIH,0
ASW,ASW,CHB,IBS,0
ASW,ASW,CHB,ITU,0
ASW,ASW,CHB,JPT,0
ASW,ASW,CHB,MXL,0
ASW,ASW,CHB,PUR,0
ASW,ASW,GIH,GIH,0
ASW,ASW,GIH,IBS,0
ASW,ASW,GIH,ITU,0
ASW,ASW,GIH,JPT,0
ASW,ASW,GIH,MXL,0
ASW,ASW,GIH,PUR,0
ASW,ASW,IBS,IBS,0
ASW,ASW,IBS,ITU,0
ASW,ASW,IBS,JPT,0
ASW,ASW,IBS,MXL,0
ASW,ASW,IBS,PUR,0
ASW,ASW,ITU,ITU,0
ASW,ASW,ITU,JPT,0
ASW,ASW,ITU,MXL,0
ASW,ASW,ITU,PUR,0
ASW,ASW,JPT,JPT,0
ASW,ASW,JPT,MXL,0
ASW,ASW,JPT,PUR,0
ASW,ASW,MXL,MXL,0
ASW,ASW,MXL,PUR,0
ASW,ASW,PUR,PUR,0
ASW,CEU,ASW,CEU,1
ASW,CEU,ASW,CHB,0
ASW,CEU,ASW,GIH,0
ASW,CEU,ASW,IBS,0
ASW,CEU,ASW,ITU,0
ASW,CEU,ASW,JPT,0
ASW,CEU,ASW,MXL,0
ASW,CEU,ASW,PUR,0
ASW,CEU,CEU,CEU,0
ASW,CEU,CEU,CHB,0
ASW,CEU,CEU,GIH,0
ASW,CEU,CEU,IBS,0
ASW,CEU,CEU,ITU,0
ASW,CEU,CEU,JPT,0
ASW,CEU,CEU,MXL,0
ASW,CEU,CEU,PUR,0
ASW,CEU,CHB,CHB,0
ASW,CEU,CHB,GIH,0
ASW,CEU,CHB,IBS,0
ASW,CEU,CHB,ITU,0
ASW,CEU,CHB,JPT,0
ASW,CEU,CHB,MXL,0
ASW,CEU,CHB,PUR,0
ASW,CEU,GIH,GIH,0
ASW,CEU,GIH,IBS,0
ASW,CEU,GIH,ITU,0
ASW,CEU,GIH,JPT,0
ASW,CEU,GIH,MXL,0
ASW,CEU,GIH,PUR,0
ASW,CEU,IBS,IBS,0
ASW,CEU,IBS,ITU,0
ASW,CEU,IBS,JPT,0
ASW,CEU,IBS,MXL,0
ASW,CEU,IBS,PUR,0
ASW,CEU,ITU,ITU,0
ASW,CEU,ITU,JPT,0
ASW,CEU,ITU,MXL,0
ASW,CEU,ITU,PUR,0
ASW,CEU,JPT,JPT,0
ASW,CEU,JPT,MXL,0
ASW,CEU,JPT,PUR,0
ASW,CEU,MXL,MXL,0
ASW,CEU,MXL,PUR,0
ASW,CEU,PUR,PUR,0
ASW,CHB,ASW,CHB,1
ASW,CHB,ASW,GIH,0
ASW,CHB,ASW,IBS,0
ASW,CHB,ASW,ITU,0
ASW,CHB,ASW,JPT,0
ASW,CHB,ASW,MXL,0
ASW,CHB,ASW,PUR,0
ASW,CHB,CEU,CEU,0
ASW,CHB,CEU,CHB,0
ASW,CHB,CEU,GIH,0
ASW,CHB,CEU,IBS,0
ASW,CHB,CEU,ITU,0
ASW,CHB,CEU,JPT,0
ASW,CHB,CEU,MXL,0
ASW,CHB,CEU,PUR,0
ASW,CHB,CHB,CHB,0
ASW,CHB,CHB,GIH,0
ASW,CHB,CHB,IBS,0
ASW,CHB,CHB,ITU,0
ASW,CHB,CHB,JPT,0
ASW,CHB,CHB,MXL,0
ASW,CHB,CHB,PUR,0
ASW,CHB,GIH,GIH,0
ASW,CHB,GIH,IBS,0
ASW,CHB,GIH,ITU,0
ASW,CHB,GIH,JPT,0
ASW,CHB,GIH,MXL,0
ASW,CHB,GIH,PUR,0
ASW,CHB,IBS,IBS,0
ASW,CHB,IBS,ITU,0
ASW,CHB,IBS,JPT,0
ASW,CHB,IBS,MXL,0
ASW,CHB,IBS,PUR,0
ASW,CHB,ITU,ITU,0
ASW,CHB,ITU,JPT,0
ASW,CHB,ITU,MXL,0
ASW,CHB,ITU,PUR,0
ASW,CHB,JPT,JPT,0
ASW,CHB,JPT,MXL,0
ASW,CHB,JPT,PUR,0
ASW,CHB,MXL,MXL,0
ASW,CHB,MXL,PUR,0
ASW,CHB,PUR,PUR,0
ASW,GIH,ASW,GIH,1
ASW,GIH,ASW,IBS,0
ASW,GIH,ASW,ITU,0
ASW,GIH,ASW,JPT,0
ASW,GIH,ASW,MXL,0
ASW,GIH,ASW,PUR,0
ASW,GIH,CEU,CEU,0
ASW,GIH,CEU,CHB,0
ASW,GIH,CEU,GIH,0
ASW,GIH,CEU,IBS,0
ASW,GIH,CEU,ITU,0
ASW,GIH,CEU,JPT,0
ASW,GIH,CEU,MXL,0
ASW,GIH,CEU,PUR,0
ASW,GIH,CHB,CHB,0
ASW,GIH,CHB,GIH,0
ASW,GIH,CHB,IBS,0
ASW,GIH,CHB,ITU,0
ASW,GIH,CHB,JPT,0
ASW,GIH,CHB,MXL,0
ASW,GIH,CHB,PUR,0
ASW,GIH,GIH,GIH,0
ASW,GIH,GIH,IBS,0
ASW,GIH,GIH,ITU,0
ASW,GIH,GIH,JPT,0
ASW,GIH,GIH,MXL,0
ASW,GIH,GIH,PUR,0
ASW,GIH,IBS,IBS,0
ASW,GIH,IBS,ITU,0
ASW,GIH,IBS,JPT,0
ASW,GIH,IBS,MXL,0
ASW,GIH,IBS,PUR,0
ASW,GIH,ITU,ITU,0
ASW,GIH,ITU,JPT,0
ASW,GIH,ITU,MXL,0
ASW,GIH,ITU,PUR,0
ASW,GIH,JPT,JPT,0
ASW,GIH,JPT,MXL,0
ASW,GIH,JPT,PUR,0
ASW,GIH,MXL,MXL,0
ASW,GIH,MXL,PUR,0
ASW,GIH,PUR,PUR,0
ASW,IBS,ASW,IBS,1
ASW,IBS,ASW,ITU,0
ASW,IBS,ASW,JPT,0
ASW,IBS,ASW,MXL,0
ASW,IBS,ASW,PUR,0
ASW,IBS,CEU,CEU,0
ASW,IBS,CEU,CHB,0
ASW,IBS,CEU,GIH,0
ASW,IBS,CEU,IBS,0
ASW,IBS,CEU,ITU,0
ASW,IBS,CEU,JPT,0
ASW,IBS,CEU,MXL,0
ASW,IBS,CEU,PUR,0
ASW,IBS,CHB,CHB,0
ASW,IBS,CHB,GIH,0
ASW,IBS,CHB,IBS,0
ASW,IBS,CHB,ITU,0
ASW,IBS,CHB,JPT,0
ASW,IBS,CHB,MXL,0
ASW,IBS,CHB,PUR,0
ASW,IBS,GIH,GIH,0
ASW,IBS,GIH,IBS,0
ASW,IBS,GIH,ITU,0
ASW,IBS,GIH,JPT,0
ASW,IBS,GIH,MXL,0
ASW,IBS,GIH,PUR,0
ASW,IBS,IBS,IBS,0
ASW,IBS,IBS,ITU,0
ASW,IBS,IBS,JPT,0
ASW,IBS,IBS,MXL,0
ASW,IBS,IBS,PUR,0
ASW,IBS,ITU,ITU,0
ASW,IBS,ITU,JPT,0
ASW,IBS,ITU,MXL,0
ASW,IBS,ITU,PUR,0
ASW,IBS,JPT,JPT,0
ASW,IBS,JPT,MXL,0
ASW,IBS,JPT,PUR,0
ASW,IBS,MXL,MXL,0
ASW,IBS,MXL,PUR,0
ASW,IBS,PUR,PUR,0
ASW,ITU,ASW,ITU,1
ASW,ITU,ASW,JPT,0
ASW,ITU,ASW,MXL,0
ASW,ITU,ASW,PUR,0
ASW,ITU,CEU,CEU,0
ASW,ITU,CEU,CHB,0
ASW,ITU,CEU,GIH,0
ASW,ITU,CEU,IBS,0
ASW,ITU,CEU,ITU,0
ASW,ITU,CEU,JPT,0
ASW,ITU,CEU,MXL,0
ASW,ITU,CEU,PUR,0
ASW,ITU,CHB,CHB,0
ASW,ITU,CHB,GIH,0
ASW,ITU,CHB,IBS,0
ASW,ITU,CHB,ITU,0
ASW,ITU,CHB,JPT,0
ASW,ITU,CHB,MXL,0
ASW,ITU,CHB,PUR,0
ASW,ITU,GIH,GIH,0
ASW,ITU,GIH,IBS,0
ASW,ITU,GIH,ITU,0
ASW,ITU,GIH,JPT,0
ASW,ITU,GIH,MXL,0
ASW,ITU,GIH,PUR,0
ASW,ITU,IBS,IBS,0
ASW,ITU,IBS,ITU,0
ASW,ITU,IBS,JPT,0
ASW,ITU,IBS,MXL,0
ASW,ITU,IBS,PUR,0
ASW,ITU,ITU,ITU,0
ASW,ITU,ITU,JPT,0
ASW,ITU,ITU,MXL,0
ASW,ITU,ITU,PUR,0
ASW,ITU,JPT,JPT,0
ASW,ITU,JPT,MXL,0
ASW,ITU,JPT,PUR,0
ASW,ITU,MXL,MXL,0
ASW,ITU,MXL,PUR,0
ASW,ITU,PUR,PUR,0
ASW,JPT,ASW,JPT,1
ASW,JPT,ASW,MXL,0
ASW,JPT,ASW,PUR,0
ASW,JPT,CEU,CEU,0
ASW,JPT,CEU,CHB,0
ASW,JPT,CEU,GIH,0
ASW,JPT,CEU,IBS,0
ASW,JPT,CEU,ITU,0
ASW,JPT,CEU,JPT,0
ASW,JPT,CEU,MXL,0
ASW,JPT,CEU,PUR,0
ASW,JPT,CHB,CHB,0
ASW,JPT,CHB,GIH,0
ASW,JPT,CHB,IBS,0
ASW,JPT,CHB,ITU,0
ASW,JPT,CHB,JPT,0
ASW,JPT,CHB,MXL,0
ASW,JPT,CHB,PUR,0
ASW,JPT,GIH,GIH,0
ASW,JPT,GIH,IBS,0
ASW,JPT,GIH,ITU,0
ASW,JPT,GIH,JPT,0
ASW,JPT,GIH,MXL,0
ASW,JPT,GIH,PUR,0
ASW,JPT,IBS,IBS,0
ASW,JPT,IBS,ITU,0
ASW,JPT,IBS,JPT,0
ASW,JPT,IBS,MXL,0
ASW,JPT,IBS,PUR,0
ASW,JPT,ITU,ITU,0
ASW,JPT,ITU,JPT,0
ASW,JPT,ITU,MXL,0
ASW,JPT,ITU,PUR,0
ASW,JPT,JPT,JPT,0
ASW,JPT,JPT,MXL,0
ASW,JPT,JPT,PUR,0
ASW,JPT,MXL,MXL,0
ASW,JPT,MXL,PUR,0
ASW,JPT,PUR,PUR,0
ASW,MXL,ASW,MXL,1
ASW,MXL,ASW,PUR,0
ASW,MXL,CEU,CEU,0
ASW,MXL,CEU,CHB,0
ASW,MXL,CEU,GIH,0
ASW,MXL,CEU,IBS,0
ASW,MXL,CEU,ITU,0
ASW,MXL,CEU,JPT,0
ASW,MXL,CEU,MXL,0
ASW,MXL,CEU,PUR,0
ASW,MXL,CHB,CHB,0
ASW,MXL,CHB,GIH,0
ASW,MXL,CHB,IBS,0
ASW,MXL,CHB,ITU,0
ASW,MXL,CHB,JPT,0
ASW,MXL,CHB,MXL,0
ASW,MXL,CHB,PUR,0
ASW,MXL,GIH,GIH,0
ASW,MXL,GIH,IBS,0
ASW,MXL,GIH,ITU,0
ASW,MXL,GIH,JPT,0
ASW,MXL,GIH,MXL,0
ASW,MXL,GIH,PUR,0
ASW,MXL,IBS,IBS,0
ASW,MXL,IBS,ITU,0
ASW,MXL,IBS,JPT,0
ASW,MXL,IBS,MXL,0
ASW,MXL,IBS,PUR,0
ASW,MXL,ITU,ITU,0
ASW,MXL,ITU,JPT,0
ASW,MXL,ITU,MXL,0
ASW,MXL,ITU,PUR,0
ASW,MXL,JPT,JPT,0
ASW,MXL,JPT,MXL,0
ASW,MXL,JPT,PUR,0
ASW,MXL,MXL,MXL,0
ASW,MXL,MXL,PUR,0
ASW,MXL,PUR,PUR,0
ASW,PUR,ASW,PUR,1
ASW,PUR,CEU,CEU,0
ASW,PUR,CEU,CHB,0
ASW,PUR,CEU,GIH,0
ASW,PUR,CEU,IBS,0
ASW,PUR,CEU,ITU,0
ASW,PUR,CEU,JPT,0
ASW,PUR,CEU,MXL,0
ASW,PUR,CEU,PUR,0
ASW,PUR,CHB,CHB,0
ASW,PUR,CHB,GIH,0
ASW,PUR,CHB,IBS,0
ASW,PUR,CHB,ITU,0
ASW,PUR,CHB,JPT,0
ASW,PUR,CHB,MXL,0
ASW,PUR,CHB,PUR,0
ASW,PUR,GIH,GIH,0
ASW,PUR,GIH,IBS,0
ASW,PUR,GIH,ITU,0
ASW,PUR,GIH,JPT,0
ASW,PUR,GIH,MXL,0
ASW,PUR,GIH,PUR,0
ASW,PUR,IBS,IBS,0
ASW,PUR,IBS,ITU,0
ASW,PUR,IBS,JPT,0
ASW,PUR,IBS,MXL,0
ASW,PUR,IBS,PUR,0
ASW,PUR,ITU,ITU,0
ASW,PUR,ITU,JPT,0
ASW,PUR,ITU,MXL,0
ASW,PUR,ITU,PUR,0
ASW,PUR,JPT,JPT,0
ASW,PUR,JPT,MXL,0
ASW,PUR,JPT,PUR,0
ASW,PUR,MXL,MXL,0
ASW,PUR,MXL,PUR,0
ASW,PUR,PUR,PUR,0
CEU,CEU,CEU,CEU,1
CEU,CEU,CEU,CHB,0
CEU,CEU,CEU,GIH,0
CEU,CEU,CEU,IBS,0
CEU,CEU,CEU,ITU,0
CEU,CEU,CEU,JPT,0
CEU,CEU,CEU,MXL,0
CEU,CEU,CEU,PUR,0
CEU,CEU,CHB,CHB,0
CEU,CEU,CHB,GIH,0
CEU,CEU,CHB,IBS,0
CEU,CEU,CHB,ITU,0
CEU,CEU,CHB,JPT,0
CEU,CEU,CHB,MXL,0
CEU,CEU,CHB,PUR,0
CEU,CEU,GIH,GIH,0
CEU,CEU,GIH,IBS,0
CEU,CEU,GIH,ITU,0
CEU,CEU,GIH,JPT,0
CEU,CEU,GIH,MXL,0
CEU,CEU,GIH,PUR,0
CEU,CEU,IBS,IBS,0
CEU,CEU,IBS,ITU,0
CEU,CEU,IBS,JPT,0
CEU,CEU,IBS,MXL,0
CEU,CEU,IBS,PUR,0
CEU,CEU,ITU,ITU,0
CEU,CEU,ITU,JPT,0
CEU,CEU,ITU,MXL,0
CEU,CEU,ITU,PUR,0
CEU,CEU,JPT,JPT,0
CEU,CEU,JPT,MXL,0
CEU,CEU,JPT,PUR,0
CEU,CEU,MXL,MXL,0
CEU,CEU,MXL,PUR,0
CEU,CEU,PUR,PUR,0
CEU,CHB,CEU,CHB,1
CEU,CHB,CEU,GIH,0
CEU,CHB,CEU,IBS,0
CEU,CHB,CEU,ITU,0
CEU,CHB,CEU,JPT,0
CEU,CHB,CEU,MXL,0
CEU,CHB,CEU,PUR,0
CEU,CHB,CHB,CHB,0
CEU,CHB,CHB,GIH,0
CEU,CHB,CHB,IBS,0
CEU,CHB,CHB,ITU,0
CEU,CHB,CHB,JPT,0
CEU,CHB,CHB,MXL,0
CEU,CHB,CHB,PUR,0
CEU,CHB,GIH,GIH,0
CEU,CHB,GIH,IBS,0
CEU,CHB,GIH,ITU,0
CEU,CHB,GIH,JPT,0
CEU,CHB,GIH,MXL,0
CEU,CHB,GIH,PUR,0
CEU,CHB,IBS,IBS,0
CEU,CHB,IBS,ITU,0
CEU,CHB,IBS,JPT,0
CEU,CHB,IBS,MXL,0
CEU,CHB,IBS,PUR,0
CEU,CHB,ITU,ITU,0
CEU,CHB,ITU,JPT,0
CEU,CHB,ITU,MXL,0
CEU,CHB,ITU,PUR,0
CEU,CHB,JPT,JPT,0
CEU,CHB,JPT,MXL,0
CEU,CHB,JPT,PUR,0
CEU,CHB,MXL,MXL,0
CEU,CHB,MXL,PUR,0
CEU,CHB,PUR,PUR,0
CEU,GIH,CEU,GIH,1
CEU,GIH,CEU,IBS,0
CEU,GIH,CEU,ITU,0
CEU,GIH,CEU,JPT,0
CEU,GIH,CEU,MXL,0
CEU,GIH,CEU,PUR,0
CEU,GIH,CHB,CHB,0
CEU,GIH,CHB,GIH,0
CEU,GIH,CHB,IBS,0
CEU,GIH,CHB,ITU,0
CEU,GIH,CHB,JPT,0
CEU,GIH,CHB,MXL,0
CEU,GIH,CHB,PUR,0
CEU,GIH,GIH,GIH,0
CEU,GIH,GIH,IBS,0
CEU,GIH,GIH,ITU,0
CEU,GIH,GIH,JPT,0
CEU,GIH,GIH,MXL,0
CEU,GIH,GIH,PUR,0
CEU,GIH,IBS,IBS,0
CEU,GIH,IBS,ITU,0
CEU,GIH,IBS,JPT,0
CEU,GIH,IBS,MXL,0
CEU,GIH,IBS,PUR,0
CEU,GIH,ITU,ITU,0
CEU,GIH,ITU,JPT,0
CEU,GIH,ITU,MXL,0
CEU,GIH,ITU,PUR,0
CEU,GIH,JPT,JPT,0
CEU,GIH,JPT,MXL,0
CEU,GIH,JPT,PUR,0
CEU,GIH,MXL,MXL,0
CEU,GIH,MXL,PUR,0
CEU,GIH,PUR,PUR,0
CEU,IBS,CEU,IBS,1
CEU,IBS,CEU,ITU,0
CEU,IBS,CEU,JPT,0
CEU,IBS,CEU,MXL,0
CEU,IBS,CEU,PUR,0
CEU,IBS,CHB,CHB,0
CEU,IBS,CHB,GIH,0
CEU,IBS,CHB,IBS,0
CEU,IBS,CHB,ITU,0
CEU,IBS,CHB,JPT,0
CEU,IBS,CHB,MXL,0
CEU,IBS,CHB,PUR,0
CEU,IBS,GIH,GIH,0
CEU,IBS,GIH,IBS,0
CEU,IBS,GIH,ITU,0
CEU,IBS,GIH,JPT,0
CEU,IBS,GIH,MXL,0
CEU,IBS,GIH,PUR,0
CEU,IBS,IBS,IBS,0
CEU,IBS,IBS,ITU,0
CEU,IBS,IBS,JPT,0
CEU,IBS,IBS,MXL,0
CEU,IBS,IBS,PUR,0
CEU,IBS,ITU,ITU,0
CEU,IBS,ITU,JPT,0
CEU,IBS,ITU,MXL,0
CEU,IBS,ITU,PUR,0
CEU,IBS,JPT,JPT,0
CEU,IBS,JPT,MXL,0
CEU,IBS,JPT,PUR,0
CEU,IBS,MXL,MXL,0
CEU,IBS,MXL,PUR,0
CEU,IBS,PUR,PUR,0
CEU,ITU,CEU,ITU,1
CEU,ITU,CEU,JPT,0
CEU,ITU,CEU,MXL,0
CEU,ITU,CEU,PUR,0
CEU,ITU,CHB,CHB,0
CEU,ITU,CHB,GIH,0
CEU,ITU,CHB,IBS,0
CEU,ITU,CHB,ITU,0
CEU,ITU,CHB,JPT,0
CEU,ITU,CHB,MXL,0
CEU,ITU,CHB,PUR,0
CEU,ITU,GIH,GIH,0
CEU,ITU,GIH,IBS,0
CEU,ITU,GIH,ITU,0
CEU,ITU,GIH,JPT,0
CEU,ITU,GIH,MXL,0
CEU,ITU,GIH,PUR,0
CEU,ITU,IBS,IBS,0
CEU,ITU,IBS,ITU,0
CEU,ITU,IBS,JPT,0
CEU,ITU,IBS,MXL,0
CEU,ITU,IBS,PUR,0
CEU,ITU,ITU,ITU,0
CEU,ITU,ITU,JPT,0
CEU,ITU,ITU,MXL,0
CEU,ITU,ITU,PUR,0
CEU,ITU,JPT,JPT,0
CEU,ITU,JPT,MXL,0
CEU,ITU,JPT,PUR,0
CEU,ITU,MXL,MXL,0
CEU,ITU,MXL,PUR,0
CEU,ITU,PUR,PUR,0
CEU,JPT,CEU,JPT,1
CEU,JPT,CEU,MXL,0
CEU,JPT,CEU,PUR,0
CEU,JPT,CHB,CHB,0
CEU,JPT,CHB,GIH,0
CEU,JPT,CHB,IBS,0
CEU,JPT,CHB,ITU,0
CEU,JPT,CHB,JPT,0
CEU,JPT,CHB,MXL,0
CEU,JPT,CHB,PUR,0
CEU,JPT,GIH,GIH,0
CEU,JPT,GIH,IBS,0
CEU,JPT,GIH,ITU,0
CEU,JPT,GIH,JPT,0
CEU,JPT,GIH,MXL,0
CEU,JPT,GIH,PUR,0
CEU,JPT,IBS,IBS,0
CEU,JPT,IBS,ITU,0
CEU,JPT,IBS,JPT,0
CEU,JPT,IBS,MXL,0
CEU,JPT,IBS,PUR,0
CEU,JPT,ITU,ITU,0
CEU,JPT,ITU,JPT,0
CEU,JPT,ITU,MXL,0
CEU,JPT,ITU,PUR,0
CEU,JPT,JPT,JPT,0
CEU,JPT,JPT,MXL,0
CEU,JPT,JPT,PUR,0
CEU,JPT,MXL,MXL,0
CEU,JPT,MXL,PUR,0
CEU,JPT,PUR,PUR,0
CEU,MXL,CEU,MXL,1
CEU,MXL,CEU,PUR,0
CEU,MXL,CHB,CHB,0
CEU,MXL,CHB,GIH,0
CEU,MXL,CHB,IBS,0
CEU,MXL,CHB,ITU,0
CEU,MXL,CHB,JPT,0
CEU,MXL,CHB,MXL,0
CEU,MXL,CHB,PUR,0
CEU,MXL,GIH,GIH,0
CEU,MXL,GIH,IBS,0
CEU,MXL,GIH,ITU,0
CEU,MXL,GIH,JPT,0
CEU,MXL,GIH,MXL,0
CEU,MXL,GIH,PUR,0
CEU,MXL,IBS,IBS,0
CEU,MXL,IBS,ITU,0
CEU,MXL,IBS,JPT,0
CEU,MXL,IBS,MXL,0
CEU,MXL,IBS,PUR,0
CEU,MXL,ITU,ITU,0
CEU,MXL,ITU,JPT,0
CEU,MXL,ITU,MXL,0
