A1,B1,A2,B2,covariance
ANE,ANE,ANE,ANE,1
ANE,ANE,ANE,Dai,0
ANE,ANE,ANE,Karitiana,0
ANE,ANE,ANE,Mbuti,0
ANE,ANE,ANE,Onge,0
ANE,ANE,Dai,Dai,0
ANE,ANE,Dai,Karitiana,0
ANE,ANE,Dai,Mbuti,0
ANE,ANE,Dai,Onge,0
ANE,ANE,Karitiana,Karitiana,0
ANE,ANE,Karitiana,Mbuti,0
ANE,ANE,Karitiana,Onge,0
ANE,ANE,Mbuti,Mbuti,0
ANE,ANE,Mbuti,Onge,0
ANE,ANE,Onge,Onge,0
ANE,Dai,ANE,Dai,1
ANE,Dai,ANE,Karitiana,0
ANE,Dai,ANE,Mbuti,0
ANE,Dai,ANE,Onge,0
ANE,Dai,Dai,Dai,0
ANE,Dai,Dai,Karitiana,0
ANE,Dai,Dai,Mbuti,0
ANE,Dai,Dai,Onge,0
ANE,Dai,Karitiana,Karitiana,0
ANE,Dai,Karitiana,Mbuti,0
ANE,Dai,Karitiana,Onge,0
ANE,Dai,Mbuti,Mbuti,0
ANE,Dai,Mbuti,Onge,0
ANE,Dai,Onge,Onge,0
ANE,Karitiana,ANE,Karitiana,1
ANE,Karitiana,ANE,Mbuti,0
ANE,Karitiana,ANE,Onge,0
ANE,Karitiana,Dai,Dai,0
ANE,Karitiana,Dai,Karitiana,0
ANE,Karitiana,Dai,Mbuti,0
ANE,Karitiana,Dai,Onge,0
ANE,Karitiana,Karitiana,Karitiana,0
ANE,Karitiana,Karitiana,Mbuti,0
ANE,Karitiana,Karitiana,Onge,0
ANE,Karitiana,Mbuti,Mbuti,0
ANE,Karitiana,Mbuti,Onge,0
ANE,Karitiana,Onge,Onge,0
ANE,Mbuti,ANE,Mbuti,1
ANE,Mbuti,ANE,Onge,0
ANE,Mbuti,Dai,Dai,0
ANE,Mbuti,Dai,Karitiana,0
ANE,Mbuti,Dai,Mbuti,0
ANE,Mbuti,Dai,Onge,0
ANE,Mbuti,Karitiana,Karitiana,0
ANE,Mbuti,Karitiana,Mbuti,0
ANE,Mbuti,Karitiana,Onge,0
ANE,Mbuti,Mbuti,Mbuti,0
ANE,Mbuti,Mbuti,Onge,0
ANE,Mbuti,Onge,Onge,0
ANE,Onge,ANE,Onge,1
ANE,Onge,Dai,Dai,0
ANE,Onge,Dai,Karitiana,0
ANE,Onge,Dai,Mbuti,0
ANE,Onge,Dai,Onge,0
ANE,Onge,Karitiana,Karitiana,0
ANE,Onge,Karitiana,Mbuti,0
ANE,Onge,Karitiana,Onge,0
ANE,Onge,Mbuti,Mbuti,0
ANE,Onge,Mbuti,Onge,0
ANE,Onge,Onge,Onge,0
Dai,Dai,Dai,Dai,1
Dai,Dai,Dai,Karitiana,0
Dai,Dai,Dai,Mbuti,0
Dai,Dai,Dai,Onge,0
Dai,Dai,Karitiana,Karitiana,0
Dai,Dai,Karitiana,Mbuti,0
Dai,Dai,Karitiana,Onge,0
Dai,Dai,Mbuti,Mbuti,0
Dai,Dai,Mbuti,Onge,0
Dai,Dai,Onge,Onge,0
Dai,Karitiana,Dai,Karitiana,1
Dai,Karitiana,Dai,Mbuti,0
Dai,Karitiana,Dai,Onge,0
Dai,Karitiana,Karitiana,Karitiana,0
Dai,Karitiana,Karitiana,Mbuti,0
Dai,Karitiana,Karitiana,Onge,0
Dai,Karitiana,Mbuti,Mbuti,0
Dai,Karitiana,Mbuti,Onge,0
Dai,Karitiana,Onge,Onge,0
Dai,Mbuti,Dai,Mbuti,1
Dai,Mbuti,Dai,Onge,0
Dai,Mbuti,Karitiana,Karitiana,0
Dai,Mbuti,Karitiana,Mbuti,0
Dai,Mbuti,Karitiana,Onge,0
Dai,Mbuti,Mbuti,Mbuti,0
Dai,Mbuti,Mbuti,Onge,0
Dai,Mbuti,Onge,Onge,0
Dai,Onge,Dai,Onge,1
Dai,Onge,Karitiana,Karitiana,0
Dai,Onge,Karitiana,Mbuti,0
Dai,Onge,Karitiana,Onge,0
Dai,Onge,Mbuti,Mbuti,0
Dai,Onge,Mbuti,Onge,0
Dai,Onge,Onge,Onge,0
Karitiana,Karitiana,Karitiana,Karitiana,1
Karitiana,Karitiana,Karitiana,Mbuti,0
Karitiana,Karitiana,Karitiana,Onge,0
Karitiana,Karitiana,Mbuti,Mbuti,0
Karitiana,Karitiana,Mbuti,Onge,0
Karitiana,Karitiana,Onge,Onge,0
Karitiana,Mbuti,Karitiana,Mbuti,1
Karitiana,Mbuti,Karitiana,Onge,0
Karitiana,Mbuti,Mbuti,Mbuti,0
Karitiana,Mbuti,Mbuti,Onge,0
Karitiana,Mbuti,Onge,Onge,0
Karitiana,Onge,Karitiana,Onge,1
Karitiana,Onge,Mbuti,Mbuti,0
Karitiana,Onge,Mbuti,Onge,0
Karitiana,Onge,Onge,Onge,0
Mbuti,Mbuti,Mbuti,Mbuti,1
Mbuti,Mbuti,Mbuti,Onge,0
Mbuti,Mbuti,Onge,Onge,0
Mbuti,Onge,Mbuti,Onge,1
Mbuti,Onge,Onge,Onge,0
Onge,Onge,Onge,Onge,1
