NAME,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST,TIME
haak2015_figS8-1,treemix-allmigs,100,-78260.7901564,124.37096007,0,0:00.75
haak2015_figS8-1,treemix-allmigs,10,-78260.7901564,124.37096007,0,0:00.52
haak2015_figS8-1,treemix-allmigs,11,-78260.7901564,124.37096007,0,0:00.55
haak2015_figS8-1,treemix-allmigs,12,-78260.7901564,124.37096007,0,0:00.63
haak2015_figS8-1,treemix-allmigs,13,-78260.7901564,124.37096007,0,0:00.62
haak2015_figS8-1,treemix-allmigs,14,-78260.7901564,124.37096007,0,0:00.65
haak2015_figS8-1,treemix-allmigs,15,-78260.7901564,124.37096007,0,0:00.54
haak2015_figS8-1,treemix-allmigs,16,-78260.7901564,124.37096007,0,0:00.56
haak2015_figS8-1,treemix-allmigs,17,-78260.7901564,124.37096007,0,0:00.64
haak2015_figS8-1,treemix-allmigs,18,-78260.7901564,124.37096007,0,0:00.62
haak2015_figS8-1,treemix-allmigs,19,-78260.7901564,124.37096007,0,0:00.66
haak2015_figS8-1,treemix-allmigs,1,-78260.7901564,124.37096007,0,0:00.67
haak2015_figS8-1,treemix-allmigs,20,-78260.7901564,124.37096007,0,0:00.68
haak2015_figS8-1,treemix-allmigs,21,-78260.7901564,124.37096007,0,0:00.62
haak2015_figS8-1,treemix-allmigs,22,-78260.7901564,124.37096007,0,0:00.63
haak2015_figS8-1,treemix-allmigs,23,-78260.7901564,124.37096007,0,0:00.66
haak2015_figS8-1,treemix-allmigs,24,-78260.7901564,124.37096007,0,0:00.57
haak2015_figS8-1,treemix-allmigs,25,-78260.7901564,124.37096007,0,0:00.57
haak2015_figS8-1,treemix-allmigs,26,-78260.7901564,124.37096007,0,0:00.66
haak2015_figS8-1,treemix-allmigs,27,-78260.7901564,124.37096007,0,0:00.60
haak2015_figS8-1,treemix-allmigs,28,-78260.7901564,124.37096007,0,0:00.60
haak2015_figS8-1,treemix-allmigs,29,-78260.7901564,124.37096007,0,0:00.67
haak2015_figS8-1,treemix-allmigs,2,-78260.7901564,124.37096007,0,0:00.63
haak2015_figS8-1,treemix-allmigs,30,-78260.7901564,124.37096007,0,0:00.62
haak2015_figS8-1,treemix-allmigs,31,-78260.7901564,124.37096007,0,0:00.67
haak2015_figS8-1,treemix-allmigs,32,-78260.7901564,124.37096007,0,0:00.95
haak2015_figS8-1,treemix-allmigs,33,-78260.7901564,124.37096007,0,0:00.48
haak2015_figS8-1,treemix-allmigs,34,-78260.7901564,124.37096007,0,0:00.54
haak2015_figS8-1,treemix-allmigs,35,-78260.7901564,124.37096007,0,0:00.53
haak2015_figS8-1,treemix-allmigs,36,-78260.7901564,124.37096007,0,0:00.64
haak2015_figS8-1,treemix-allmigs,37,-78260.7901564,124.37096007,0,0:00.65
haak2015_figS8-1,treemix-allmigs,38,-78260.7901564,124.37096007,0,0:00.52
haak2015_figS8-1,treemix-allmigs,39,-78260.7901564,124.37096007,0,0:00.91
haak2015_figS8-1,treemix-allmigs,3,-78260.7901564,124.37096007,0,0:00.65
haak2015_figS8-1,treemix-allmigs,40,-78260.7901564,124.37096007,0,0:00.48
haak2015_figS8-1,treemix-allmigs,41,-78260.7901564,124.37096007,0,0:00.64
haak2015_figS8-1,treemix-allmigs,42,-78260.7901564,124.37096007,0,0:00.60
haak2015_figS8-1,treemix-allmigs,43,-78260.7901564,124.37096007,0,0:00.50
haak2015_figS8-1,treemix-allmigs,44,-78260.7901564,124.37096007,0,0:00.64
haak2015_figS8-1,treemix-allmigs,45,-78260.7901564,124.37096007,0,0:00.62
haak2015_figS8-1,treemix-allmigs,46,-78260.7901564,124.37096007,0,0:00.80
haak2015_figS8-1,treemix-allmigs,47,-78260.7901564,124.37096007,0,0:00.52
haak2015_figS8-1,treemix-allmigs,48,-78260.7901564,124.37096007,0,0:00.58
