NAME,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST,TIME
lipson2020_fig5a_extended,treemix-allmigs,100,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,10,-803.628972418,-29.6556396232,15,0:00.24
lipson2020_fig5a_extended,treemix-allmigs,11,-803.628972418,-29.6556396232,15,0:00.21
lipson2020_fig5a_extended,treemix-allmigs,12,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,13,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,14,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,15,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,16,-803.628972418,-29.6556396232,15,0:00.24
lipson2020_fig5a_extended,treemix-allmigs,17,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,18,-803.628972418,-29.6556396232,15,0:00.24
lipson2020_fig5a_extended,treemix-allmigs,19,-803.628972418,-29.6556396232,15,0:00.17
lipson2020_fig5a_extended,treemix-allmigs,1,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,20,-803.628972418,-29.6556396232,15,0:00.29
lipson2020_fig5a_extended,treemix-allmigs,21,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,22,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,23,-803.628972418,-29.6556396232,15,0:00.24
lipson2020_fig5a_extended,treemix-allmigs,24,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,25,-803.628972418,-29.6556396232,15,0:00.17
lipson2020_fig5a_extended,treemix-allmigs,26,-803.628972418,-29.6556396232,15,0:00.24
lipson2020_fig5a_extended,treemix-allmigs,27,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,28,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,29,-803.628972418,-29.6556396232,15,0:00.20
lipson2020_fig5a_extended,treemix-allmigs,2,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,30,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,31,-803.628972418,-29.6556396232,15,0:00.23
lipson2020_fig5a_extended,treemix-allmigs,32,-803.628972418,-29.6556396232,15,0:00.25
lipson2020_fig5a_extended,treemix-allmigs,33,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,34,-803.628972418,-29.6556396232,15,0:00.26
lipson2020_fig5a_extended,treemix-allmigs,35,-803.628972418,-29.6556396232,15,0:00.26
