NAME,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST,TIME
patterson2012_fig5,treemix-allmigs-mlno,100,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,10,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,11,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,12,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,13,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,14,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,15,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,16,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,17,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,18,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,19,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,1,-2292.13798161,82.9139941016,0,0:00.13
patterson2012_fig5,treemix-allmigs-mlno,20,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,21,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,22,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,23,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,24,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,25,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,26,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,27,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,28,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,29,-2292.13798161,82.9139941016,0,0:00.13
patterson2012_fig5,treemix-allmigs-mlno,2,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,30,-2292.13798161,82.9139941016,0,0:00.13
patterson2012_fig5,treemix-allmigs-mlno,31,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,32,-2292.13798161,82.9139941016,0,0:00.12
patterson2012_fig5,treemix-allmigs-mlno,33,-2292.13798161,82.9139941016,0,0:00.13
