TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,case_study,10,treemix,100,58.2269023382,104.742330072,0
cov,case_study,10,treemix,101,58.2269023382,104.742330072,0
cov,case_study,10,treemix,102,58.2269023382,104.742330072,0
cov,case_study,10,treemix,103,58.2269023382,104.742330072,0
cov,case_study,10,treemix,104,58.2269023382,104.742330072,0
cov,case_study,10,treemix,105,58.2269023382,104.742330072,0
cov,case_study,10,treemix,106,58.2269023382,104.742330072,0
cov,case_study,10,treemix,107,58.2269023382,104.742330072,0
cov,case_study,10,treemix,108,58.2269023382,104.742330072,0
cov,case_study,10,treemix,109,58.2269023382,104.742330072,0
cov,case_study,10,treemix,10,58.2269023382,104.742330072,0
cov,case_study,10,treemix,110,58.2269023382,104.742330072,0
cov,case_study,10,treemix,111,58.2269023382,104.742330072,0
cov,case_study,10,treemix,112,58.2269023382,104.742330072,0
cov,case_study,10,treemix,113,58.2269023382,104.742330072,0
cov,case_study,10,treemix,114,58.2269023382,104.742330072,0
cov,case_study,10,treemix,115,58.2269023382,104.742330072,0
cov,case_study,10,treemix,116,58.2269023382,104.742330072,0
cov,case_study,10,treemix,117,58.2269023382,104.742330072,0
cov,case_study,10,treemix,118,58.2269023382,104.742330072,0
cov,case_study,10,treemix,119,58.2269023382,104.742330072,0
cov,case_study,10,treemix,11,58.2269023382,104.742330072,0
cov,case_study,10,treemix,120,58.2269023382,104.742330072,0
cov,case_study,10,treemix,12,58.2269023382,104.742330072,0
cov,case_study,10,treemix,13,58.2269023382,104.742330072,0
cov,case_study,10,treemix,14,58.2269023382,104.742330072,0
cov,case_study,10,treemix,15,58.2269023382,104.742330072,0
cov,case_study,10,treemix,16,58.2269023382,104.742330072,0
cov,case_study,10,treemix,17,58.2269023382,104.742330072,0
cov,case_study,10,treemix,18,58.2269023382,104.742330072,0
cov,case_study,10,treemix,19,58.2269023382,104.742330072,0
cov,case_study,10,treemix,1,58.2269023382,104.742330072,0
cov,case_study,10,treemix,20,58.2269023382,104.742330072,0
cov,case_study,10,treemix,21,58.2269023382,104.742330072,0
cov,case_study,10,treemix,22,58.2269023382,104.742330072,0
cov,case_study,10,treemix,23,58.2269023382,104.742330072,0
cov,case_study,10,treemix,24,58.2269023382,104.742330072,0
cov,case_study,10,treemix,25,58.2269023382,104.742330072,0
cov,case_study,10,treemix,26,58.2269023382,104.742330072,0
cov,case_study,10,treemix,27,58.2269023382,104.742330072,0
cov,case_study,10,treemix,28,58.2269023382,104.742330072,0
cov,case_study,10,treemix,29,58.2269023382,104.742330072,0
cov,case_study,10,treemix,2,58.2269023382,104.742330072,0
cov,case_study,10,treemix,30,58.2269023382,104.742330072,0
cov,case_study,10,treemix,31,58.2269023382,104.742330072,0
cov,case_study,10,treemix,32,58.2269023382,104.742330072,0
cov,case_study,10,treemix,33,58.2269023382,104.742330072,0
