TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,lipson2020_fig5a,10,treemix,100,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,101,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,102,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,103,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,104,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,105,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,106,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,107,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,108,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,109,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,10,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,110,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,111,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,112,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,113,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,114,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,115,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,116,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,117,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,118,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,119,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,11,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,120,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,12,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,13,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,14,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,15,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,16,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,17,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,18,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,19,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,1,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,20,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,21,108.024218316,109.086948624,4
